,host_id,name,host_name,host_is_superhost,neighbourhood,neighbourhood_cleansed,beds,price,review_scores_rating
792,61348629,Treetops - With Free Wi-Fi,Terry,f,,Colac Otway,4.0,$420.00,97.0
793,51748440,Whitewater Apartment 101,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,3.0,$300.00,94.0
794,35260482,Self contained modern & private studio,Rachel,t,"Jan Juc, Victoria, Australia",Surf Coast,1.0,$148.00,99.0
795,8041267,Lighthouse Dream. 2 beaches within 200metres,Fitrika,t,"Point Lonsdale, Victoria, Australia",Queenscliffe,5.0,$295.00,98.0
796,61309643,Arun Dell by the Sea,Lisa,t,"Skenes Creek, Victoria, Australia",Colac Otway,4.0,$253.00,95.0
797,9068876,Beach break on Bristol - centre of town!,Jaime,t,"Torquay, Victoria, Australia",Surf Coast,2.0,$151.00,96.0
798,62090677,Sea Mist Studio Apartment,Kate,t,"Warrnambool, Victoria, Australia",Warrnambool,1.0,$133.00,97.0
799,26021640,Villa Pascoe,Julia,f,"Apollo Bay, Victoria, Australia",Colac Otway,7.0,$305.00,89.0
800,62190299,Barwon Beachside,Rosalind,t,"Barwon Heads, Victoria, Australia",Greater Geelong,5.0,$550.00,98.0
801,62192374,Hannah's Homestay,David,t,,Colac Otway,2.0,$100.00,98.0
802,62200103,QUAYFIELDS TORQUAY,Carolynn,f,"Torquay, Victoria, Australia",Surf Coast,8.0,"$1,300.00",
803,62212929,Ocean Grove Deluxe Spa Cabin,Ocean Grove Cedar Cabins,t,"Ocean Grove, Victoria, Australia",Greater Geelong,2.0,$160.00,96.0
804,26280588,Own Entrance/ Private Space/Dog Friendly,Helen,t,"Barwon Heads, Victoria, Australia",Greater Geelong,3.0,$180.00,96.0
805,62330477,Hamptons Home by the Sea.....  Right on the bay!,Maggi,f,"Clifton Springs, Victoria, Australia",Greater Geelong,1.0,$105.00,97.0
806,35919887,"LOCATION! Approx 100m from beach, shops, eateries",Joe,t,"Torquay, Victoria, Australia",Surf Coast,4.0,$360.00,100.0
807,62090677,Sea Mist Retreat,Kate,t,"Warrnambool, Victoria, Australia",Warrnambool,1.0,$173.00,98.0
808,51748440,Esplanade Frontage 219a,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,7.0,$577.00,95.0
809,51748440,Wentworth Escape 12,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,8.0,$370.00,78.0
810,51748440,Wentworth Escape 13,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,8.0,$450.00,87.0
811,62452236,The yellow door house,Stacy,f,"Warrnambool, Victoria, Australia",Warrnambool,2.0,$350.00,91.0
812,28038740,Beautiful beachside residence close to beach,Brad,f,"Jan Juc, Victoria, Australia",Surf Coast,5.0,$445.00,89.0
813,45343589,Riverview farmhouse stay,Michael,f,,Colac Otway,5.0,$214.00,86.0
814,62696623,Ambrose House- Great for 3 families,Paul,f,,Surf Coast,7.0,$350.00,
815,51748440,Bell Street Apartment 10-7,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,3.0,$406.00,92.0
816,51748440,Bell Street Apartment 11-7,Reservations Team,f,"Torquay, Victoria, Australia",Surf Coast,5.0,$339.00,96.0
817,490722,By the River in Barwon Heads,Sue,f,"Barwon Heads, Victoria, Australia",Greater Geelong,6.0,$350.00,93.0
818,62992481,Pembroke Escape. A great place to relax.,Lisa,t,"Ocean Grove, Victoria, Australia",Greater Geelong,4.0,$131.00,98.0
819,63045414,parkwood cottage great ocean road lavers hill vic,Kim,f,,Colac Otway,1.0,$201.00,94.0
820,63174412,Entire guest house with water and garden views,Prue,t,"Hamilton, Victoria, Australia",Southern Grampians,1.0,$125.00,99.0
821,55203486,Pips on Bank - Luxury Cottage,Leanne,f,,Moyne,4.0,$403.00,98.0
822,63265290,Belmont Beauty,John,t,"Belmont, Victoria, Australia",Greater Geelong,2.0,$282.00,99.0
823,63290539,Kepler Rose Beautiful Period Home,Vava,t,"Warrnambool, Victoria, Australia",Warrnambool,9.0,$407.00,97.0
824,45942779,Casita,Carmel & Tim,t,"Port Fairy, Victoria, Australia",Moyne,1.0,$110.00,99.0
825,3794683,La Bella View Warrnambool,Alison,t,"Warrnambool, Victoria, Australia",Warrnambool,1.0,$232.00,100.0
826,26191616,Central Luxury 1 Bedroom Apartment,Karen,t,"Warrnambool, Victoria, Australia",Warrnambool,6.0,$131.00,99.0
